Error,d,Class
0.09599999999999997,2,ANN - Train diagonal
0.11550000000000005,2,ANN - Test diagonal
0.128,2,ANN - Train parallel
0.11180000000000001,2,ANN - Test parallel
0.09599999999999997,2,ANN - Train diagonal
0.11529999999999996,2,ANN - Test diagonal
0.11199999999999999,2,ANN - Train parallel
0.10270000000000001,2,ANN - Test parallel
0.08399999999999996,2,ANN - Train diagonal
0.10040000000000004,2,ANN - Test diagonal
0.11199999999999999,2,ANN - Train parallel
0.10170000000000001,2,ANN - Test parallel
0.09599999999999997,2,ANN - Train diagonal
0.1078,2,ANN - Test diagonal
0.06000000000000005,2,ANN - Train parallel
0.1059,2,ANN - Test parallel
0.06799999999999995,2,ANN - Train diagonal
0.09950000000000003,2,ANN - Test diagonal
0.08799999999999997,2,ANN - Train parallel
0.12749999999999995,2,ANN - Test parallel
0.10799999999999998,2,ANN - Train diagonal
0.10409999999999997,2,ANN - Test diagonal
0.08399999999999996,2,ANN - Train parallel
0.10109999999999997,2,ANN - Test parallel
0.07599999999999996,2,ANN - Train diagonal
0.11019999999999996,2,ANN - Test diagonal
0.11199999999999999,2,ANN - Train parallel
0.09899999999999998,2,ANN - Test parallel
0.07199999999999995,2,ANN - Train diagonal
0.124,2,ANN - Test diagonal
0.08399999999999996,2,ANN - Train parallel
0.10160000000000002,2,ANN - Test parallel
0.11599999999999999,2,ANN - Train diagonal
0.11450000000000005,2,ANN - Test diagonal
0.10399999999999998,2,ANN - Train parallel
0.10289999999999999,2,ANN - Test parallel
0.128,2,ANN - Train diagonal
0.09989999999999999,2,ANN - Test diagonal
0.08799999999999997,2,ANN - Train parallel
0.10870000000000002,2,ANN - Test parallel
0.08399999999999996,2,ANN - Train diagonal
0.09989999999999999,2,ANN - Test diagonal
0.07999999999999996,2,ANN - Train parallel
0.0998,2,ANN - Test parallel
0.09599999999999997,2,ANN - Train diagonal
0.10529999999999995,2,ANN - Test diagonal
0.09199999999999997,2,ANN - Train parallel
0.09699999999999998,2,ANN - Test parallel
0.08399999999999996,2,ANN - Train diagonal
0.10199999999999998,2,ANN - Test diagonal
0.11199999999999999,2,ANN - Train parallel
0.1008,2,ANN - Test parallel
0.09599999999999997,2,ANN - Train diagonal
0.10799999999999998,2,ANN - Test diagonal
0.07599999999999996,2,ANN - Train parallel
0.09840000000000004,2,ANN - Test parallel
0.07999999999999996,2,ANN - Train diagonal
0.11019999999999996,2,ANN - Test diagonal
0.08799999999999997,2,ANN - Train parallel
0.1048,2,ANN - Test parallel
0.08399999999999996,2,ANN - Train diagonal
0.10650000000000004,2,ANN - Test diagonal
0.06000000000000005,2,ANN - Train parallel
0.12729999999999997,2,ANN - Test parallel
0.08799999999999997,2,ANN - Train diagonal
0.10219999999999996,2,ANN - Test diagonal
0.06399999999999995,2,ANN - Train parallel
0.12009999999999998,2,ANN - Test parallel
0.07199999999999995,2,ANN - Train diagonal
0.10550000000000004,2,ANN - Test diagonal
0.07999999999999996,2,ANN - Train parallel
0.11370000000000002,2,ANN - Test parallel
0.09599999999999997,2,ANN - Train diagonal
0.11240000000000006,2,ANN - Test diagonal
0.09199999999999997,2,ANN - Train parallel
0.11250000000000004,2,ANN - Test parallel
0.06399999999999995,2,ANN - Train diagonal
0.10629999999999995,2,ANN - Test diagonal
0.06399999999999995,2,ANN - Train parallel
0.10340000000000005,2,ANN - Test parallel
0.06799999999999995,4,ANN - Train diagonal
0.13260000000000005,4,ANN - Test diagonal
0.03600000000000003,4,ANN - Train parallel
0.12949999999999995,4,ANN - Test parallel
0.03600000000000003,4,ANN - Train diagonal
0.12880000000000003,4,ANN - Test diagonal
0.03600000000000003,4,ANN - Train parallel
0.14790000000000003,4,ANN - Test parallel
0.04800000000000004,4,ANN - Train diagonal
0.14770000000000005,4,ANN - Test diagonal
0.03200000000000003,4,ANN - Train parallel
0.13149999999999995,4,ANN - Test parallel
0.03200000000000003,4,ANN - Train diagonal
0.1432,4,ANN - Test diagonal
0.008000000000000007,4,ANN - Train parallel
0.14300000000000002,4,ANN - Test parallel
0.028000000000000025,4,ANN - Train diagonal
0.14890000000000003,4,ANN - Test diagonal
0.04800000000000004,4,ANN - Train parallel
0.123,4,ANN - Test parallel
0.03600000000000003,4,ANN - Train diagonal
0.11670000000000003,4,ANN - Test diagonal
0.06000000000000005,4,ANN - Train parallel
0.16200000000000003,4,ANN - Test parallel
0.06399999999999995,4,ANN - Train diagonal
0.12439999999999996,4,ANN - Test diagonal
0.052000000000000046,4,ANN - Train parallel
0.12250000000000005,4,ANN - Test parallel
0.03200000000000003,4,ANN - Train diagonal
0.14780000000000004,4,ANN - Test diagonal
0.04400000000000004,4,ANN - Train parallel
0.14080000000000004,4,ANN - Test parallel
0.052000000000000046,4,ANN - Train diagonal
0.13280000000000003,4,ANN - Test diagonal
0.028000000000000025,4,ANN - Train parallel
0.12050000000000005,4,ANN - Test parallel
0.02400000000000002,4,ANN - Train diagonal
0.16700000000000004,4,ANN - Test diagonal
0.03600000000000003,4,ANN - Train parallel
0.12560000000000004,4,ANN - Test parallel
0.06399999999999995,4,ANN - Train diagonal
0.12619999999999998,4,ANN - Test diagonal
0.04800000000000004,4,ANN - Train parallel
0.12619999999999998,4,ANN - Test parallel
0.06000000000000005,4,ANN - Train diagonal
0.12770000000000004,4,ANN - Test diagonal
0.028000000000000025,4,ANN - Train parallel
0.11639999999999995,4,ANN - Test parallel
0.03200000000000003,4,ANN - Train diagonal
0.13670000000000004,4,ANN - Test diagonal
0.06000000000000005,4,ANN - Train parallel
0.1613,4,ANN - Test parallel
0.03200000000000003,4,ANN - Train diagonal
0.15080000000000005,4,ANN - Test diagonal
0.05600000000000005,4,ANN - Train parallel
0.12480000000000002,4,ANN - Test parallel
0.040000000000000036,4,ANN - Train diagonal
0.1311,4,ANN - Test diagonal
0.0040000000000000036,4,ANN - Train parallel
