Error,d,Class
0.11599999999999999,2,Gaussian NB - Train diagonal
0.1079,2,Gaussian NB - Test diagonal
0.09599999999999997,2,Gaussian NB - Train parallel
0.09970000000000001,2,Gaussian NB - Test parallel
0.15200000000000002,2,Gaussian NB - Train diagonal
0.10760000000000003,2,Gaussian NB - Test diagonal
0.08799999999999997,2,Gaussian NB - Train parallel
0.09870000000000001,2,Gaussian NB - Test parallel
0.08399999999999996,2,Gaussian NB - Train diagonal
0.10529999999999995,2,Gaussian NB - Test diagonal
0.07999999999999996,2,Gaussian NB - Train parallel
0.09699999999999998,2,Gaussian NB - Test parallel
0.11199999999999999,2,Gaussian NB - Train diagonal
0.10540000000000005,2,Gaussian NB - Test diagonal
0.08799999999999997,2,Gaussian NB - Train parallel
0.09899999999999998,2,Gaussian NB - Test parallel
0.08399999999999996,2,Gaussian NB - Train diagonal
0.1058,2,Gaussian NB - Test diagonal
0.09599999999999997,2,Gaussian NB - Train parallel
0.09819999999999995,2,Gaussian NB - Test parallel
0.09599999999999997,2,Gaussian NB - Train diagonal
0.10699999999999998,2,Gaussian NB - Test diagonal
0.07999999999999996,2,Gaussian NB - Train parallel
0.10089999999999999,2,Gaussian NB - Test parallel
0.09599999999999997,2,Gaussian NB - Train diagonal
0.11050000000000004,2,Gaussian NB - Test diagonal
0.06000000000000005,2,Gaussian NB - Train parallel
0.09830000000000005,2,Gaussian NB - Test parallel
0.09199999999999997,2,Gaussian NB - Train diagonal
0.11250000000000004,2,Gaussian NB - Test diagonal
0.10399999999999998,2,Gaussian NB - Train parallel
0.09770000000000001,2,Gaussian NB - Test parallel
0.09199999999999997,2,Gaussian NB - Train diagonal
0.10540000000000005,2,Gaussian NB - Test diagonal
0.10799999999999998,2,Gaussian NB - Train parallel
0.09770000000000001,2,Gaussian NB - Test parallel
0.09599999999999997,2,Gaussian NB - Train diagonal
0.10740000000000005,2,Gaussian NB - Test diagonal
0.09199999999999997,2,Gaussian NB - Train parallel
0.09789999999999999,2,Gaussian NB - Test parallel
0.09199999999999997,2,Gaussian NB - Train diagonal
0.10629999999999995,2,Gaussian NB - Test diagonal
0.08799999999999997,2,Gaussian NB - Train parallel
0.09850000000000003,2,Gaussian NB - Test parallel
0.07199999999999995,2,Gaussian NB - Train diagonal
0.10699999999999998,2,Gaussian NB - Test diagonal
0.10399999999999998,2,Gaussian NB - Train parallel
0.10189999999999999,2,Gaussian NB - Test parallel
0.124,2,Gaussian NB - Train diagonal
0.10629999999999995,2,Gaussian NB - Test diagonal
0.10399999999999998,2,Gaussian NB - Train parallel
0.10089999999999999,2,Gaussian NB - Test parallel
0.07599999999999996,2,Gaussian NB - Train diagonal
0.10499999999999998,2,Gaussian NB - Test diagonal
0.09199999999999997,2,Gaussian NB - Train parallel
0.10050000000000003,2,Gaussian NB - Test parallel
0.09999999999999998,2,Gaussian NB - Train diagonal
0.10609999999999997,2,Gaussian NB - Test diagonal
0.11599999999999999,2,Gaussian NB - Train parallel
0.09730000000000005,2,Gaussian NB - Test parallel
0.10399999999999998,2,Gaussian NB - Train diagonal
0.1069,2,Gaussian NB - Test diagonal
0.06000000000000005,2,Gaussian NB - Train parallel
0.09860000000000002,2,Gaussian NB - Test parallel
0.124,2,Gaussian NB - Train diagonal
0.10460000000000003,2,Gaussian NB - Test diagonal
0.09999999999999998,2,Gaussian NB - Train parallel
0.09789999999999999,2,Gaussian NB - Test parallel
0.11599999999999999,2,Gaussian NB - Train diagonal
0.10970000000000002,2,Gaussian NB - Test diagonal
0.08399999999999996,2,Gaussian NB - Train parallel
0.09809999999999997,2,Gaussian NB - Test parallel
0.08399999999999996,2,Gaussian NB - Train diagonal
0.10609999999999997,2,Gaussian NB - Test diagonal
0.10799999999999998,2,Gaussian NB - Train parallel
0.10040000000000004,2,Gaussian NB - Test parallel
0.08399999999999996,2,Gaussian NB - Train diagonal
0.10509999999999997,2,Gaussian NB - Test diagonal
0.09999999999999998,2,Gaussian NB - Train parallel
0.09799999999999998,2,Gaussian NB - Test parallel
0.09199999999999997,4,Gaussian NB - Train diagonal
0.10109999999999997,4,Gaussian NB - Test diagonal
0.128,4,Gaussian NB - Train parallel
0.10160000000000002,4,Gaussian NB - Test parallel
0.10799999999999998,4,Gaussian NB - Train diagonal
0.09950000000000003,4,Gaussian NB - Test diagonal
0.128,4,Gaussian NB - Train parallel
0.10119999999999996,4,Gaussian NB - Test parallel
0.09599999999999997,4,Gaussian NB - Train diagonal
0.10160000000000002,4,Gaussian NB - Test diagonal
0.11599999999999999,4,Gaussian NB - Train parallel
0.0988,4,Gaussian NB - Test parallel
0.08399999999999996,4,Gaussian NB - Train diagonal
0.09799999999999998,4,Gaussian NB - Test diagonal
0.09999999999999998,4,Gaussian NB - Train parallel
0.10099999999999998,4,Gaussian NB - Test parallel
0.08399999999999996,4,Gaussian NB - Train diagonal
0.09860000000000002,4,Gaussian NB - Test diagonal
0.08399999999999996,4,Gaussian NB - Train parallel
0.10399999999999998,4,Gaussian NB - Test parallel
0.04800000000000004,4,Gaussian NB - Train diagonal
0.10029999999999994,4,Gaussian NB - Test diagonal
0.09599999999999997,4,Gaussian NB - Train parallel
0.10060000000000002,4,Gaussian NB - Test parallel
0.11199999999999999,4,Gaussian NB - Train diagonal
0.10019999999999996,4,Gaussian NB - Test diagonal
0.09199999999999997,4,Gaussian NB - Train parallel
0.1008,4,Gaussian NB - Test parallel
0.128,4,Gaussian NB - Train diagonal
0.09809999999999997,4,Gaussian NB - Test diagonal
0.10399999999999998,4,Gaussian NB - Train parallel
0.10650000000000004,4,Gaussian NB - Test parallel
0.10799999999999998,4,Gaussian NB - Train diagonal
0.09909999999999997,4,Gaussian NB - Test diagonal
0.136,4,Gaussian NB - Train parallel
0.10289999999999999,4,Gaussian NB - Test parallel
0.09999999999999998,4,Gaussian NB - Train diagonal
0.10109999999999997,4,Gaussian NB - Test diagonal
0.09999999999999998,4,Gaussian NB - Train parallel
0.10099999999999998,4,Gaussian NB - Test parallel
0.09199999999999997,4,Gaussian NB - Train diagonal
0.10040000000000004,4,Gaussian NB - Test diagonal
0.09599999999999997,4,Gaussian NB - Train parallel
0.10109999999999997,4,Gaussian NB - Test parallel
0.11599999999999999,4,Gaussian NB - Train diagonal
0.10029999999999994,4,Gaussian NB - Test diagonal
0.10799999999999998,4,Gaussian NB - Train parallel
0.10050000000000003,4,Gaussian NB - Test parallel
0.09199999999999997,4,Gaussian NB - Train diagonal
0.10040000000000004,4,Gaussian NB - Test diagonal
0.08799999999999997,4,Gaussian NB - Train parallel
0.10170000000000001,4,Gaussian NB - Test parallel
0.09599999999999997,4,Gaussian NB - Train diagonal
0.09709999999999996,4,Gaussian NB - Test diagonal
0.11599999999999999,4,Gaussian NB - Train parallel
0.10289999999999999,4,Gaussian NB - Test parallel
0.07999999999999996,4,Gaussian NB - Train diagonal
0.10029999999999994,4,Gaussian NB - Test diagonal
0.07199999999999995,4,Gaussian NB - Train parallel
0.10470000000000002,4,Gaussian NB - Test parallel
0.124,4,Gaussian NB - Train diagonal
0.09640000000000004,4,Gaussian NB - Test diagonal
0.08799999999999997,4,Gaussian NB - Train parallel
0.09960000000000002,4,Gaussian NB - Test parallel
0.09199999999999997,4,Gaussian NB - Train diagonal
0.09919999999999995,4,Gaussian NB - Test diagonal
0.07999999999999996,4,Gaussian NB - Train parallel
0.10129999999999995,4,Gaussian NB - Test parallel
0.07599999999999996,4,Gaussian NB - Train diagonal
0.09989999999999999,4,Gaussian NB - Test diagonal
0.124,4,Gaussian NB - Train parallel
0.10699999999999998,4,Gaussian NB - Test parallel
0.08799999999999997,4,Gaussian NB - Train diagonal
0.09760000000000002,4,Gaussian NB - Test diagonal
0.10799999999999998,4,Gaussian NB - Train parallel
0.1018,4,Gaussian NB - Test parallel
0.06799999999999995,4,Gaussian NB - Train diagonal
0.1018,4,Gaussian NB - Test diagonal
0.128,4,Gaussian NB - Train parallel
0.10260000000000002,4,Gaussian NB - Test parallel
0.11599999999999999,8,Gaussian NB - Train diagonal
0.10499999999999998,8,Gaussian NB - Test diagonal
0.11599999999999999,8,Gaussian NB - Train parallel
0.10840000000000005,8,Gaussian NB - Test parallel
0.09599999999999997,8,Gaussian NB - Train diagonal
0.1048,8,Gaussian NB - Test diagonal
