Error,d,Class
0.0,2,"KNN, K = 1 - Train diagonal"
0.1371,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.14290000000000003,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.13759999999999994,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.15069999999999995,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.13729999999999998,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.1381,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.1674,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.12460000000000004,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.15810000000000002,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.1533,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.14739999999999998,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.13160000000000005,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.14359999999999995,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.1481,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.1452,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.13149999999999995,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.14270000000000005,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.16390000000000005,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.1461,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.14270000000000005,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.15510000000000002,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.15369999999999995,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.11739999999999995,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.13770000000000004,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.15339999999999998,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.16410000000000002,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.17290000000000005,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.1451,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.1483,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.17610000000000003,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.13349999999999995,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.13629999999999998,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.12360000000000004,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.1351,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.126,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.14790000000000003,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.13560000000000005,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.15859999999999996,2,"KNN, K = 1 - Test parallel"
0.0,2,"KNN, K = 1 - Train diagonal"
0.14859999999999995,2,"KNN, K = 1 - Test diagonal"
0.0,2,"KNN, K = 1 - Train parallel"
0.14280000000000004,2,"KNN, K = 1 - Test parallel"
0.06399999999999995,2,"KNN, K = 3 - Train diagonal"
0.12390000000000001,2,"KNN, K = 3 - Test diagonal"
0.06399999999999995,2,"KNN, K = 3 - Train parallel"
0.10429999999999995,2,"KNN, K = 3 - Test parallel"
0.04800000000000004,2,"KNN, K = 3 - Train diagonal"
0.11839999999999995,2,"KNN, K = 3 - Test diagonal"
0.09599999999999997,2,"KNN, K = 3 - Train parallel"
0.124,2,"KNN, K = 3 - Test parallel"
0.07999999999999996,2,"KNN, K = 3 - Train diagonal"
0.11770000000000003,2,"KNN, K = 3 - Test diagonal"
0.124,2,"KNN, K = 3 - Train parallel"
0.14139999999999997,2,"KNN, K = 3 - Test parallel"
0.07199999999999995,2,"KNN, K = 3 - Train diagonal"
0.12470000000000003,2,"KNN, K = 3 - Test diagonal"
0.07199999999999995,2,"KNN, K = 3 - Train parallel"
0.12429999999999997,2,"KNN, K = 3 - Test parallel"
0.07199999999999995,2,"KNN, K = 3 - Train diagonal"
0.11719999999999997,2,"KNN, K = 3 - Test diagonal"
0.08399999999999996,2,"KNN, K = 3 - Train parallel"
0.11829999999999996,2,"KNN, K = 3 - Test parallel"
0.06799999999999995,2,"KNN, K = 3 - Train diagonal"
0.1169,2,"KNN, K = 3 - Test diagonal"
0.07199999999999995,2,"KNN, K = 3 - Train parallel"
0.12370000000000003,2,"KNN, K = 3 - Test parallel"
0.08399999999999996,2,"KNN, K = 3 - Train diagonal"
0.1311,2,"KNN, K = 3 - Test diagonal"
0.06000000000000005,2,"KNN, K = 3 - Train parallel"
0.12919999999999998,2,"KNN, K = 3 - Test parallel"
0.09999999999999998,2,"KNN, K = 3 - Train diagonal"
0.11850000000000005,2,"KNN, K = 3 - Test diagonal"
0.052000000000000046,2,"KNN, K = 3 - Train parallel"
0.11409999999999998,2,"KNN, K = 3 - Test parallel"
0.07199999999999995,2,"KNN, K = 3 - Train diagonal"
0.124,2,"KNN, K = 3 - Test diagonal"
0.06000000000000005,2,"KNN, K = 3 - Train parallel"
0.11329999999999996,2,"KNN, K = 3 - Test parallel"
0.07199999999999995,2,"KNN, K = 3 - Train diagonal"
0.11729999999999996,2,"KNN, K = 3 - Test diagonal"
0.07199999999999995,2,"KNN, K = 3 - Train parallel"
0.1473,2,"KNN, K = 3 - Test parallel"
0.06000000000000005,2,"KNN, K = 3 - Train diagonal"
0.11299999999999999,2,"KNN, K = 3 - Test diagonal"
0.05600000000000005,2,"KNN, K = 3 - Train parallel"
0.11850000000000005,2,"KNN, K = 3 - Test parallel"
0.06799999999999995,2,"KNN, K = 3 - Train diagonal"
0.12050000000000005,2,"KNN, K = 3 - Test diagonal"
0.06000000000000005,2,"KNN, K = 3 - Train parallel"
0.11639999999999995,2,"KNN, K = 3 - Test parallel"
0.08399999999999996,2,"KNN, K = 3 - Train diagonal"
0.11870000000000003,2,"KNN, K = 3 - Test diagonal"
0.07599999999999996,2,"KNN, K = 3 - Train parallel"
0.12119999999999997,2,"KNN, K = 3 - Test parallel"
0.08799999999999997,2,"KNN, K = 3 - Train diagonal"
0.1261,2,"KNN, K = 3 - Test diagonal"
0.06799999999999995,2,"KNN, K = 3 - Train parallel"
0.12770000000000004,2,"KNN, K = 3 - Test parallel"
0.04400000000000004,2,"KNN, K = 3 - Train diagonal"
0.13180000000000003,2,"KNN, K = 3 - Test diagonal"
0.08799999999999997,2,"KNN, K = 3 - Train parallel"
0.12729999999999997,2,"KNN, K = 3 - Test parallel"
0.06000000000000005,2,"KNN, K = 3 - Train diagonal"
0.11609999999999998,2,"KNN, K = 3 - Test diagonal"
0.07599999999999996,2,"KNN, K = 3 - Train parallel"
0.135,2,"KNN, K = 3 - Test parallel"
0.09199999999999997,2,"KNN, K = 3 - Train diagonal"
0.1199,2,"KNN, K = 3 - Test diagonal"
