Error,d,Class
0.04800000000000004,2,Tree - Train diagonal
0.1422,2,Tree - Test diagonal
0.06799999999999995,2,Tree - Train parallel
0.12380000000000002,2,Tree - Test parallel
0.06799999999999995,2,Tree - Train diagonal
0.13739999999999997,2,Tree - Test diagonal
0.08399999999999996,2,Tree - Train parallel
0.1008,2,Tree - Test parallel
0.08799999999999997,2,Tree - Train diagonal
0.11609999999999998,2,Tree - Test diagonal
0.10799999999999998,2,Tree - Train parallel
0.1311,2,Tree - Test parallel
0.052000000000000046,2,Tree - Train diagonal
0.16679999999999995,2,Tree - Test diagonal
0.09599999999999997,2,Tree - Train parallel
0.11080000000000001,2,Tree - Test parallel
0.07999999999999996,2,Tree - Train diagonal
0.11639999999999995,2,Tree - Test diagonal
0.06000000000000005,2,Tree - Train parallel
0.1372,2,Tree - Test parallel
0.07599999999999996,2,Tree - Train diagonal
0.12129999999999996,2,Tree - Test diagonal
0.07999999999999996,2,Tree - Train parallel
0.10509999999999997,2,Tree - Test parallel
0.08399999999999996,2,Tree - Train diagonal
0.13880000000000003,2,Tree - Test diagonal
0.052000000000000046,2,Tree - Train parallel
0.1492,2,Tree - Test parallel
0.07599999999999996,2,Tree - Train diagonal
0.14400000000000002,2,Tree - Test diagonal
0.06000000000000005,2,Tree - Train parallel
0.11240000000000006,2,Tree - Test parallel
0.04800000000000004,2,Tree - Train diagonal
0.1189,2,Tree - Test diagonal
0.09199999999999997,2,Tree - Train parallel
0.13229999999999997,2,Tree - Test parallel
0.06799999999999995,2,Tree - Train diagonal
0.13160000000000005,2,Tree - Test diagonal
0.06799999999999995,2,Tree - Train parallel
0.1612,2,Tree - Test parallel
0.06799999999999995,2,Tree - Train diagonal
0.14070000000000005,2,Tree - Test diagonal
0.07199999999999995,2,Tree - Train parallel
0.10909999999999997,2,Tree - Test parallel
0.07599999999999996,2,Tree - Train diagonal
0.14959999999999996,2,Tree - Test diagonal
0.06000000000000005,2,Tree - Train parallel
0.11460000000000004,2,Tree - Test parallel
0.07199999999999995,2,Tree - Train diagonal
0.13929999999999998,2,Tree - Test diagonal
0.07199999999999995,2,Tree - Train parallel
0.10999999999999999,2,Tree - Test parallel
0.06000000000000005,2,Tree - Train diagonal
0.1251,2,Tree - Test diagonal
0.06000000000000005,2,Tree - Train parallel
0.11739999999999995,2,Tree - Test parallel
0.05600000000000005,2,Tree - Train diagonal
0.13339999999999996,2,Tree - Test diagonal
0.052000000000000046,2,Tree - Train parallel
0.11529999999999996,2,Tree - Test parallel
0.08399999999999996,2,Tree - Train diagonal
0.1452,2,Tree - Test diagonal
0.06799999999999995,2,Tree - Train parallel
0.14059999999999995,2,Tree - Test parallel
0.04400000000000004,2,Tree - Train diagonal
0.11929999999999996,2,Tree - Test diagonal
0.040000000000000036,2,Tree - Train parallel
0.10760000000000003,2,Tree - Test parallel
0.052000000000000046,2,Tree - Train diagonal
0.11980000000000002,2,Tree - Test diagonal
0.06399999999999995,2,Tree - Train parallel
0.11270000000000002,2,Tree - Test parallel
0.06399999999999995,2,Tree - Train diagonal
0.16159999999999997,2,Tree - Test diagonal
0.06799999999999995,2,Tree - Train parallel
0.13219999999999998,2,Tree - Test parallel
0.06799999999999995,2,Tree - Train diagonal
0.13680000000000003,2,Tree - Test diagonal
0.08799999999999997,2,Tree - Train parallel
0.11829999999999996,2,Tree - Test parallel
0.052000000000000046,4,Tree - Train diagonal
0.17720000000000002,4,Tree - Test diagonal
0.07199999999999995,4,Tree - Train parallel
0.16600000000000004,4,Tree - Test parallel
0.06799999999999995,4,Tree - Train diagonal
0.14539999999999997,4,Tree - Test diagonal
0.04800000000000004,4,Tree - Train parallel
0.1341,4,Tree - Test parallel
0.07599999999999996,4,Tree - Train diagonal
0.16190000000000004,4,Tree - Test diagonal
0.08799999999999997,4,Tree - Train parallel
0.0988,4,Tree - Test parallel
0.06399999999999995,4,Tree - Train diagonal
0.16410000000000002,4,Tree - Test diagonal
0.04800000000000004,4,Tree - Train parallel
0.1271,4,Tree - Test parallel
0.07599999999999996,4,Tree - Train diagonal
0.19069999999999998,4,Tree - Test diagonal
0.05600000000000005,4,Tree - Train parallel
0.14100000000000001,4,Tree - Test parallel
0.07199999999999995,4,Tree - Train diagonal
0.18100000000000005,4,Tree - Test diagonal
0.06000000000000005,4,Tree - Train parallel
0.16849999999999998,4,Tree - Test parallel
0.07199999999999995,4,Tree - Train diagonal
0.17469999999999997,4,Tree - Test diagonal
0.08399999999999996,4,Tree - Train parallel
0.134,4,Tree - Test parallel
0.05600000000000005,4,Tree - Train diagonal
0.16600000000000004,4,Tree - Test diagonal
0.07199999999999995,4,Tree - Train parallel
0.15559999999999996,4,Tree - Test parallel
0.07999999999999996,4,Tree - Train diagonal
0.14229999999999998,4,Tree - Test diagonal
0.06000000000000005,4,Tree - Train parallel
0.1553,4,Tree - Test parallel
0.052000000000000046,4,Tree - Train diagonal
0.16180000000000005,4,Tree - Test diagonal
0.08399999999999996,4,Tree - Train parallel
0.15069999999999995,4,Tree - Test parallel
0.07599999999999996,4,Tree - Train diagonal
0.18469999999999998,4,Tree - Test diagonal
0.06000000000000005,4,Tree - Train parallel
0.11980000000000002,4,Tree - Test parallel
0.04800000000000004,4,Tree - Train diagonal
0.17279999999999995,4,Tree - Test diagonal
0.07599999999999996,4,Tree - Train parallel
0.15359999999999996,4,Tree - Test parallel
0.07199999999999995,4,Tree - Train diagonal
0.2037,4,Tree - Test diagonal
0.052000000000000046,4,Tree - Train parallel
0.12019999999999997,4,Tree - Test parallel
0.06399999999999995,4,Tree - Train diagonal
0.16769999999999996,4,Tree - Test diagonal
0.07199999999999995,4,Tree - Train parallel
0.15159999999999996,4,Tree - Test parallel
0.07599999999999996,4,Tree - Train diagonal
0.19369999999999998,4,Tree - Test diagonal
0.04800000000000004,4,Tree - Train parallel
0.13939999999999997,4,Tree - Test parallel
0.06399999999999995,4,Tree - Train diagonal
0.15549999999999997,4,Tree - Test diagonal
0.06399999999999995,4,Tree - Train parallel
0.13349999999999995,4,Tree - Test parallel
0.06000000000000005,4,Tree - Train diagonal
0.1603,4,Tree - Test diagonal
0.04800000000000004,4,Tree - Train parallel
0.1068,4,Tree - Test parallel
0.07199999999999995,4,Tree - Train diagonal
0.15959999999999996,4,Tree - Test diagonal
0.04800000000000004,4,Tree - Train parallel
0.11339999999999995,4,Tree - Test parallel
0.052000000000000046,4,Tree - Train diagonal
0.14959999999999996,4,Tree - Test diagonal
0.06399999999999995,4,Tree - Train parallel
0.16349999999999998,4,Tree - Test parallel
0.08799999999999997,4,Tree - Train diagonal
0.14870000000000005,4,Tree - Test diagonal
0.06000000000000005,4,Tree - Train parallel
0.11009999999999998,4,Tree - Test parallel
0.08799999999999997,8,Tree - Train diagonal
0.25070000000000003,8,Tree - Test diagonal
0.040000000000000036,8,Tree - Train parallel
0.12280000000000002,8,Tree - Test parallel
0.04800000000000004,8,Tree - Train diagonal
0.23299999999999998,8,Tree - Test diagonal
0.04800000000000004,8,Tree - Train parallel
0.15700000000000003,8,Tree - Test parallel
0.06399999999999995,8,Tree - Train diagonal
0.23319999999999996,8,Tree - Test diagonal
0.052000000000000046,8,Tree - Train parallel
0.12680000000000002,8,Tree - Test parallel
0.06399999999999995,8,Tree - Train diagonal
0.23109999999999997,8,Tree - Test diagonal
0.04800000000000004,8,Tree - Train parallel
0.16449999999999998,8,Tree - Test parallel
0.06000000000000005,8,Tree - Train diagonal
0.2613,8,Tree - Test diagonal
0.05600000000000005,8,Tree - Train parallel
0.1301,8,Tree - Test parallel
0.04400000000000004,8,Tree - Train diagonal
0.25329999999999997,8,Tree - Test diagonal
0.07199999999999995,8,Tree - Train parallel
0.132,8,Tree - Test parallel
0.05600000000000005,8,Tree - Train diagonal
0.2217,8,Tree - Test diagonal
0.04800000000000004,8,Tree - Train parallel
0.138,8,Tree - Test parallel
0.05600000000000005,8,Tree - Train diagonal
0.2419,8,Tree - Test diagonal
0.028000000000000025,8,Tree - Train parallel
0.13629999999999998,8,Tree - Test parallel
0.08799999999999997,8,Tree - Train diagonal
0.23299999999999998,8,Tree - Test diagonal
0.028000000000000025,8,Tree - Train parallel
0.12529999999999997,8,Tree - Test parallel
0.06000000000000005,8,Tree - Train diagonal
0.23760000000000003,8,Tree - Test diagonal
0.05600000000000005,8,Tree - Train parallel
0.13839999999999997,8,Tree - Test parallel
0.05600000000000005,8,Tree - Train diagonal
0.23150000000000004,8,Tree - Test diagonal
0.040000000000000036,8,Tree - Train parallel
0.13139999999999996,8,Tree - Test parallel
0.07599999999999996,8,Tree - Train diagonal
0.25370000000000004,8,Tree - Test diagonal
0.06000000000000005,8,Tree - Train parallel
0.12260000000000004,8,Tree - Test parallel
0.07599999999999996,8,Tree - Train diagonal
0.251,8,Tree - Test diagonal
0.03600000000000003,8,Tree - Train parallel
0.1362,8,Tree - Test parallel
0.05600000000000005,8,Tree - Train diagonal
0.22160000000000002,8,Tree - Test diagonal
0.04800000000000004,8,Tree - Train parallel
0.12660000000000005,8,Tree - Test parallel
0.09599999999999997,8,Tree - Train diagonal
0.24860000000000004,8,Tree - Test diagonal
0.052000000000000046,8,Tree - Train parallel
0.1533,8,Tree - Test parallel
0.06799999999999995,8,Tree - Train diagonal
0.21650000000000003,8,Tree - Test diagonal
0.04400000000000004,8,Tree - Train parallel
0.12350000000000005,8,Tree - Test parallel
0.04400000000000004,8,Tree - Train diagonal
0.23540000000000005,8,Tree - Test diagonal
0.05600000000000005,8,Tree - Train parallel
0.1513,8,Tree - Test parallel
0.06399999999999995,8,Tree - Train diagonal
0.2562,8,Tree - Test diagonal
0.040000000000000036,8,Tree - Train parallel
0.13260000000000005,8,Tree - Test parallel
0.07999999999999996,8,Tree - Train diagonal
0.24580000000000002,8,Tree - Test diagonal
0.06799999999999995,8,Tree - Train parallel
0.15880000000000005,8,Tree - Test parallel
0.08799999999999997,8,Tree - Train diagonal
0.24460000000000004,8,Tree - Test diagonal
0.04400000000000004,8,Tree - Train parallel
0.11960000000000004,8,Tree - Test parallel
0.07199999999999995,16,Tree - Train diagonal
0.3002,16,Tree - Test diagonal
0.052000000000000046,16,Tree - Train parallel
0.14739999999999998,16,Tree - Test parallel
0.07599999999999996,16,Tree - Train diagonal
0.3246,16,Tree - Test diagonal
0.040000000000000036,16,Tree - Train parallel
0.15100000000000002,16,Tree - Test parallel
0.08799999999999997,16,Tree - Train diagonal
0.31920000000000004,16,Tree - Test diagonal
0.04400000000000004,16,Tree - Train parallel
0.11319999999999997,16,Tree - Test parallel
0.07199999999999995,16,Tree - Train diagonal
0.28869999999999996,16,Tree - Test diagonal
0.052000000000000046,16,Tree - Train parallel
0.17149999999999999,16,Tree - Test parallel
0.09199999999999997,16,Tree - Train diagonal
0.30989999999999995,16,Tree - Test diagonal
0.04800000000000004,16,Tree - Train parallel
0.12849999999999995,16,Tree - Test parallel
0.06799999999999995,16,Tree - Train diagonal
0.29290000000000005,16,Tree - Test diagonal
0.04400000000000004,16,Tree - Train parallel
0.13260000000000005,16,Tree - Test parallel
0.08399999999999996,16,Tree - Train diagonal
0.2882,16,Tree - Test diagonal
0.04400000000000004,16,Tree - Train parallel
0.13270000000000004,16,Tree - Test parallel
0.052000000000000046,16,Tree - Train diagonal
0.2731,16,Tree - Test diagonal
0.040000000000000036,16,Tree - Train parallel
0.18300000000000005,16,Tree - Test parallel
0.05600000000000005,16,Tree - Train diagonal
0.30010000000000003,16,Tree - Test diagonal
0.028000000000000025,16,Tree - Train parallel
0.15580000000000005,16,Tree - Test parallel
0.07199999999999995,16,Tree - Train diagonal
0.2822,16,Tree - Test diagonal
0.052000000000000046,16,Tree - Train parallel
0.13229999999999997,16,Tree - Test parallel
0.06799999999999995,16,Tree - Train diagonal
0.28779999999999994,16,Tree - Test diagonal
0.03600000000000003,16,Tree - Train parallel
0.13629999999999998,16,Tree - Test parallel
0.06399999999999995,16,Tree - Train diagonal
0.29590000000000005,16,Tree - Test diagonal
0.04400000000000004,16,Tree - Train parallel
0.13329999999999997,16,Tree - Test parallel
0.08399999999999996,16,Tree - Train diagonal
0.30000000000000004,16,Tree - Test diagonal
0.052000000000000046,16,Tree - Train parallel
0.15649999999999997,16,Tree - Test parallel
0.07199999999999995,16,Tree - Train diagonal
0.28369999999999995,16,Tree - Test diagonal
0.03200000000000003,16,Tree - Train parallel
0.1382,16,Tree - Test parallel
0.06799999999999995,16,Tree - Train diagonal
0.3135,16,Tree - Test diagonal
0.052000000000000046,16,Tree - Train parallel
0.14329999999999998,16,Tree - Test parallel
0.07999999999999996,16,Tree - Train diagonal
0.3025,16,Tree - Test diagonal
0.04400000000000004,16,Tree - Train parallel
0.11839999999999995,16,Tree - Test parallel
0.07599999999999996,16,Tree - Train diagonal
0.2966,16,Tree - Test diagonal
0.040000000000000036,16,Tree - Train parallel
0.12239999999999995,16,Tree - Test parallel
0.07199999999999995,16,Tree - Train diagonal
0.30269999999999997,16,Tree - Test diagonal
0.03200000000000003,16,Tree - Train parallel
0.15059999999999996,16,Tree - Test parallel
0.06000000000000005,16,Tree - Train diagonal
0.28959999999999997,16,Tree - Test diagonal
0.03600000000000003,16,Tree - Train parallel
0.11439999999999995,16,Tree - Test parallel
0.07599999999999996,16,Tree - Train diagonal
0.2844,16,Tree - Test diagonal
0.04400000000000004,16,Tree - Train parallel
0.123,16,Tree - Test parallel
0.07199999999999995,32,Tree - Train diagonal
0.344,32,Tree - Test diagonal
0.03200000000000003,32,Tree - Train parallel
0.16769999999999996,32,Tree - Test parallel
0.040000000000000036,32,Tree - Train diagonal
0.33940000000000003,32,Tree - Test diagonal
0.03200000000000003,32,Tree - Train parallel
0.16869999999999996,32,Tree - Test parallel
0.07199999999999995,32,Tree - Train diagonal
0.34099999999999997,32,Tree - Test diagonal
0.040000000000000036,32,Tree - Train parallel
0.17800000000000005,32,Tree - Test parallel
0.05600000000000005,32,Tree - Train diagonal
0.3577,32,Tree - Test diagonal
0.040000000000000036,32,Tree - Train parallel
0.1471,32,Tree - Test parallel
0.07199999999999995,32,Tree - Train diagonal
0.33430000000000004,32,Tree - Test diagonal
0.03200000000000003,32,Tree - Train parallel
0.1512,32,Tree - Test parallel
0.06399999999999995,32,Tree - Train diagonal
0.34130000000000005,32,Tree - Test diagonal
0.052000000000000046,32,Tree - Train parallel
0.19010000000000005,32,Tree - Test parallel
0.07199999999999995,32,Tree - Train diagonal
0.34850000000000003,32,Tree - Test diagonal
0.04400000000000004,32,Tree - Train parallel
0.15339999999999998,32,Tree - Test parallel
0.08399999999999996,32,Tree - Train diagonal
0.36839999999999995,32,Tree - Test diagonal
0.040000000000000036,32,Tree - Train parallel
0.14049999999999996,32,Tree - Test parallel
0.04800000000000004,32,Tree - Train diagonal
0.35519999999999996,32,Tree - Test diagonal
0.03600000000000003,32,Tree - Train parallel
0.1925,32,Tree - Test parallel
0.06000000000000005,32,Tree - Train diagonal
0.34419999999999995,32,Tree - Test diagonal
0.03200000000000003,32,Tree - Train parallel
0.13419999999999999,32,Tree - Test parallel
0.08399999999999996,32,Tree - Train diagonal
0.37029999999999996,32,Tree - Test diagonal
0.028000000000000025,32,Tree - Train parallel
0.17059999999999997,32,Tree - Test parallel
0.05600000000000005,32,Tree - Train diagonal
0.33830000000000005,32,Tree - Test diagonal
0.03600000000000003,32,Tree - Train parallel
0.13339999999999996,32,Tree - Test parallel
0.07599999999999996,32,Tree - Train diagonal
0.3519,32,Tree - Test diagonal
0.040000000000000036,32,Tree - Train parallel
0.16400000000000003,32,Tree - Test parallel
0.06399999999999995,32,Tree - Train diagonal
0.35950000000000004,32,Tree - Test diagonal
0.03600000000000003,32,Tree - Train parallel
0.15259999999999996,32,Tree - Test parallel
0.07199999999999995,32,Tree - Train diagonal
0.34740000000000004,32,Tree - Test diagonal
0.04400000000000004,32,Tree - Train parallel
0.15049999999999997,32,Tree - Test parallel
0.06399999999999995,32,Tree - Train diagonal
0.3526,32,Tree - Test diagonal
0.03600000000000003,32,Tree - Train parallel
0.14090000000000003,32,Tree - Test parallel
0.04800000000000004,32,Tree - Train diagonal
0.34309999999999996,32,Tree - Test diagonal
0.03600000000000003,32,Tree - Train parallel
0.14349999999999996,32,Tree - Test parallel
0.052000000000000046,32,Tree - Train diagonal
0.33440000000000003,32,Tree - Test diagonal
0.04400000000000004,32,Tree - Train parallel
0.17889999999999995,32,Tree - Test parallel
0.07999999999999996,32,Tree - Train diagonal
0.36160000000000003,32,Tree - Test diagonal
0.040000000000000036,32,Tree - Train parallel
0.1563,32,Tree - Test parallel
0.052000000000000046,32,Tree - Train diagonal
0.34240000000000004,32,Tree - Test diagonal
0.03200000000000003,32,Tree - Train parallel
0.15390000000000004,32,Tree - Test parallel
