Error,Epocas,Class
0.013329651533747624,0,Train error
0.012158891250537476,0,Test error
0.00887586254358187,20,Train error
0.008658965164922415,20,Test error
0.00799130226264852,40,Train error
0.007816488181341468,40,Test error
0.008867708753688707,60,Train error
0.00838757572511601,60,Test error
0.007081886722108006,80,Train error
0.006596556501243309,80,Test error
0.013872888662299996,100,Train error
0.013160179370094761,100,Test error
0.0068135372963779375,120,Train error
0.006418794506307569,120,Test error
0.008569062126409647,140,Train error
0.008211036610735283,140,Test error
0.006783856647308153,160,Train error
0.006285573655556062,160,Test error
0.007342174915176816,180,Train error
0.006906053717085402,180,Test error
0.007266889202674165,200,Train error
0.006872161931221136,200,Test error
0.008524644000306048,220,Train error
0.007780825283962841,220,Test error
0.007139123543236282,240,Train error
0.006581846382318193,240,Test error
0.006920805076347679,260,Train error
0.006426489627176196,260,Test error
0.006743762215332024,280,Train error
0.006224931029486805,280,Test error
0.007223450599379222,300,Train error
0.006792611098528021,300,Test error
0.009315649499379684,320,Train error
0.008558421998970243,320,Test error
0.007551482543055456,340,Train error
0.006748724632632389,340,Test error
0.006686981921599333,360,Train error
0.006074141387795686,360,Test error
0.007357822089802019,380,Train error
0.00661571748345634,380,Test error
0.006880099756637746,400,Train error
0.006336817964129212,400,Test error
0.006704545593322383,420,Train error
0.006105032115484179,420,Test error
0.006948751964889878,440,Train error
0.006328977747264005,440,Test error
0.006577391169678306,460,Train error
0.005956096011529481,460,Test error
0.006567513380744954,480,Train error
0.006051669043850505,480,Test error
0.006570498694246591,500,Train error
0.005967017654713431,500,Test error
0.006708099803783014,520,Train error
0.006126283624312232,520,Test error
0.007089940067761355,540,Train error
0.00647064206158088,540,Test error
0.0069458279235224615,560,Train error
0.006424489826106068,560,Test error
0.0066728197987236705,580,Train error
0.006059362727976625,580,Test error
0.010771929545565105,600,Train error
0.009804861192072101,600,Test error
0.007164225870244314,620,Train error
0.0066288647077247355,620,Test error
0.006620689344027343,640,Train error
0.006050249585878455,640,Test error
0.006642843379783092,660,Train error
0.005985927014849263,660,Test error
0.006970036469776462,680,Train error
0.006474998687306651,680,Test error
0.007718549109400291,700,Train error
0.006887883062540675,700,Test error
0.008256534416970227,720,Train error
0.00770352336187896,720,Test error
0.006502950735246509,740,Train error
0.005940148138485105,740,Test error
0.006511260910817571,760,Train error
0.005925823076352569,760,Test error
0.006588052892684977,780,Train error
0.005972802171233118,780,Test error
0.006565172807320716,800,Train error
0.005938520598482856,800,Test error
0.006415007869353872,820,Train error
0.005813504297071788,820,Test error
0.00643119389943379,840,Train error
0.00586206098044853,840,Test error
0.006431408799647066,860,Train error
0.005878641553025521,860,Test error
0.006840981764264929,880,Train error
0.006355802336332928,880,Test error
0.00674050072975876,900,Train error
0.006229879182176196,900,Test error
0.006590741650424295,920,Train error
0.006115982339532225,920,Test error
0.008270073154891554,940,Train error
0.0075761960732170855,940,Test error
0.008210951393356406,960,Train error
0.007786330294162047,960,Test error
0.006880221797525136,980,Train error
0.00620003197849933,980,Test error
0.006985787987389565,1000,Train error
0.006437545360882861,1000,Test error
0.0063903840976905785,1020,Train error
0.0057899150270883755,1020,Test error
0.007793994317419093,1040,Train error
0.007014992703334057,1040,Test error
0.007521097179882292,1060,Train error
0.007046506063875595,1060,Test error
0.007177046206060887,1080,Train error
0.006719129027082936,1080,Test error
0.010537404038881877,1100,Train error
0.01017426947731604,1100,Test error
0.006349983864318295,1120,Train error
0.005800419317363667,1120,Test error
0.0064492209790244556,1140,Train error
0.005814941654944937,1140,Test error
0.006341787169047459,1160,Train error
0.0056290167912950205,1160,Test error
0.007325884473758502,1180,Train error
0.006746528749162977,1180,Test error
0.006353890861099538,1200,Train error
0.005709066297026842,1200,Test error
0.006343392539308453,1220,Train error
0.0057355883928697105,1220,Test error
0.007010354393611728,1240,Train error
0.00629663923488291,1240,Test error
0.006810940898387426,1260,Train error
0.006289637169936102,1260,Test error
0.0065135033128799254,1280,Train error
0.005990364119977656,1280,Test error
0.0064640817058562,1300,Train error
0.005820280561691149,1300,Test error
0.006541438604003169,1320,Train error
0.005946128519659213,1320,Test error
0.006478633554786871,1340,Train error
0.005855067575838993,1340,Test error
0.0072269093397941565,1360,Train error
0.006526240555927236,1360,Test error
0.00688687609361805,1380,Train error
0.006391586871147531,1380,Test error
0.007378972644353651,1400,Train error
0.006719073877845759,1400,Test error
0.006375550461649183,1420,Train error
0.005790426954878474,1420,Test error
0.006434250627678496,1440,Train error
0.005871726366400671,1440,Test error
0.0066509735006676845,1460,Train error
0.006106962967827515,1460,Test error
0.00636025066549837,1480,Train error
0.005865770244612561,1480,Test error
0.006257935155118709,1500,Train error
0.00573316878893969,1500,Test error
0.0075657614226846285,1520,Train error
0.006863057213195516,1520,Test error
0.007330340016555076,1540,Train error
0.00694675459983551,1540,Test error
0.006578087671948311,1560,Train error
0.005953898298260539,1560,Test error
0.006261675718275129,1580,Train error
0.005806271325103214,1580,Test error
0.007556051471472687,1600,Train error
0.007187920095950414,1600,Test error
0.008801204203435454,1620,Train error
0.008420806488399282,1620,Test error
0.006335486393965929,1640,Train error
0.005907775830794917,1640,Test error
0.007171704503143913,1660,Train error
0.00685019583462815,1660,Test error
0.006235533387583287,1680,Train error
0.005844056684321619,1680,Test error
0.006253425831367887,1700,Train error
0.005841720118925703,1700,Test error
0.006403270224942861,1720,Train error
0.0057705047950205295,1720,Test error
0.006223032670570701,1740,Train error
0.00556933613966675,1740,Test error
0.0062377069748630765,1760,Train error
0.005675657719015662,1760,Test error
0.006275348220013948,1780,Train error
0.005813652284126832,1780,Test error
0.010052448247120026,1800,Train error
0.009825977972077925,1800,Test error
0.0062295606761700074,1820,Train error
0.005685256634964153,1820,Test error
0.006205242613451397,1840,Train error
0.005731148669632298,1840,Test error
0.006252036809509994,1860,Train error
0.0056576251451902655,1860,Test error
0.006196673915102206,1880,Train error
0.005624340503820514,1880,Test error
0.006732081788954126,1900,Train error
0.006266117753440729,1900,Test error
0.006228427816392685,1920,Train error
0.005667234122150952,1920,Test error
0.00621180658418997,1940,Train error
0.005570314547856795,1940,Test error
0.006266855377641881,1960,Train error
0.005702670538167328,1960,Test error
0.007001516199329667,1980,Train error
0.006358178688243383,1980,Test error
0.006205562779497812,2000,Train error
0.005663236795246815,2000,Test error
0.0064857877831110975,2020,Train error
0.005923521260877358,2020,Test error
0.006214208179053356,2040,Train error
0.005742994553568234,2040,Test error
0.008551547643946805,2060,Train error
0.008263216946219759,2060,Test error
0.006962318575681619,2080,Train error
0.006393578827738458,2080,Test error
0.008341900489962322,2100,Train error
0.007700949064742296,2100,Test error
0.00631136846685457,2120,Train error
0.005807883632365348,2120,Test error
0.006787031142173583,2140,Train error
0.00627714074251212,2140,Test error
0.006549834262536896,2160,Train error
0.006039175075710757,2160,Test error
0.007881641443126114,2180,Train error
0.0074883508687311725,2180,Test error
0.006187690482103095,2200,Train error
0.005608952091886837,2200,Test error
0.00926397181869004,2220,Train error
0.008872198347112868,2220,Test error
0.006804372833684963,2240,Train error
0.006394905103800018,2240,Test error
0.009173648348906521,2260,Train error
0.008486192560534175,2260,Test error
0.007060195751942206,2280,Train error
0.006696385592294732,2280,Test error
0.0065729657204257755,2300,Train error
0.00609677579341627,2300,Test error
0.00930866067104039,2320,Train error
0.008675520661450728,2320,Test error
0.007122137578410885,2340,Train error
0.0067304200594448076,2340,Test error
0.006130800428403833,2360,Train error
0.00561051786489044,2360,Test error
0.00626287272263429,2380,Train error
0.005710071744106949,2380,Test error
0.006130114697355118,2400,Train error
0.005602646645554369,2400,Test error
0.006889163480585237,2420,Train error
0.0062991738116672516,2420,Test error
0.0063785731830247015,2440,Train error
0.005955081862121785,2440,Test error
0.012015760627484304,2460,Train error
0.011312882102464169,2460,Test error
0.008487380533371796,2480,Train error
0.00819884389699021,2480,Test error
0.007801505223178445,2500,Train error
0.007244761628792612,2500,Test error
0.0075143102655505735,2520,Train error
0.0069050946801615005,2520,Test error
0.006265195972495106,2540,Train error
0.005720457440558404,2540,Test error
0.006978915322180677,2560,Train error
0.006535944987200946,2560,Test error
0.006196133818164838,2580,Train error
0.005895936877833483,2580,Test error
0.0063203421836009925,2600,Train error
0.005982873213364083,2600,Test error
0.006969325654416587,2620,Train error
0.006683365860113364,2620,Test error
0.007177635836478832,2640,Train error
0.006665881057191726,2640,Test error
0.006552815816323733,2660,Train error
0.0060698796713348525,2660,Test error
0.0064528920717240494,2680,Train error
0.006038236444957275,2680,Test error
0.0062539078354442905,2700,Train error
0.005706948421305575,2700,Test error
0.006090469720893125,2720,Train error
0.005618418771202403,2720,Test error
0.006171162066450572,2740,Train error
0.005636966222859488,2740,Test error
0.006408568130927731,2760,Train error
0.005867917389687543,2760,Test error
0.006077880322702842,2780,Train error
0.00565813449275617,2780,Test error
0.00633391267497924,2800,Train error
0.00590086250268919,2800,Test error
0.006190617854859768,2820,Train error
0.005689486639463346,2820,Test error
0.0063021930269865824,2840,Train error
0.005817111674398294,2840,Test error
0.006868869041096061,2860,Train error
0.006470624359659228,2860,Test error
0.00610715439238185,2880,Train error
0.0055886030001186145,2880,Test error
0.00609776645048322,2900,Train error
0.0056447505833852,2900,Test error
0.006282371208578473,2920,Train error
0.005783858938236996,2920,Test error
0.006820460879344988,2940,Train error
0.006434708823387983,2940,Test error
0.006532208003314972,2960,Train error
0.006194672247090039,2960,Test error
0.006062519391550235,2980,Train error
0.00561408018947269,2980,Test error
0.006264407486046494,3000,Train error
0.005890695246108556,3000,Test error
0.007974732199566362,3020,Train error
0.00770221057856004,3020,Test error
0.0060978538763265325,3040,Train error
0.005627245919238772,3040,Test error
0.00650624835452744,3060,Train error
0.005958494913091353,3060,Test error
0.013652685870135238,3080,Train error
0.012835531624076482,3080,Test error
0.00622077105187121,3100,Train error
0.00575380831237474,3100,Test error
0.006490853930064436,3120,Train error
0.006096417223418051,3120,Test error
0.006988779512455053,3140,Train error
0.006661624846936758,3140,Test error
0.006545433363416982,3160,Train error
0.006029274618261284,3160,Test error
0.00606691052048814,3180,Train error
0.005579727655788863,3180,Test error
0.006437051997932141,3200,Train error
0.006093854869318913,3200,Test error
0.008186445171328022,3220,Train error
0.007606660231985694,3220,Test error
0.006077068730866121,3240,Train error
0.00558563011768902,3240,Test error
0.006094762813581611,3260,Train error
0.005772170835619303,3260,Test error
0.006746255300525609,3280,Train error
0.006488896912276761,3280,Test error
0.006949187573856038,3300,Train error
0.0064780361980845145,3300,Test error
0.006087188762253886,3320,Train error
0.005728490279903092,3320,Test error
0.006282100273089753,3340,Train error
0.005752461509654806,3340,Test error
0.006471658880342024,3360,Train error
0.006128121927201288,3360,Test error
0.006034212305371775,3380,Train error
0.005646063372728858,3380,Test error
0.006502085773377206,3400,Train error
0.006252467694145573,3400,Test error
0.006072946116817571,3420,Train error
0.0056078956432072165,3420,Test error
0.006147921107969582,3440,Train error
0.00568603453305125,3440,Test error
0.0061206475647951845,3460,Train error
0.005844832429385247,3460,Test error
0.006044939247649323,3480,Train error
0.0057376456317110875,3480,Test error
0.006043699599783861,3500,Train error
0.00566992318730486,3500,Test error
0.006163237042543912,3520,Train error
0.005804508599475036,3520,Test error
0.007125767808203387,3540,Train error
0.006498126940869699,3540,Test error
0.006625682672424043,3560,Train error
0.006291439065679443,3560,Test error
0.006114070250357698,3580,Train error
0.005742701967565998,3580,Test error
0.006022695554392627,3600,Train error
0.005674588310862079,3600,Test error
0.006031685847394862,3620,Train error
0.00569058003738363,3620,Test error
0.006024974680466203,3640,Train error
0.005694524838755785,3640,Test error
0.0065841387230634735,3660,Train error
0.006104442261524343,3660,Test error
0.007111037424955228,3680,Train error
0.006497560612265118,3680,Test error
0.006372244351962005,3700,Train error
0.00602559883673205,3700,Test error
0.006220161061194604,3720,Train error
0.005949962753190321,3720,Test error
0.006029788911365646,3740,Train error
0.005670898639372228,3740,Test error
0.007380850629828779,3760,Train error
0.007152396576204697,3760,Test error
0.006419295295893441,3780,Train error
0.006177548214401043,3780,Test error
0.007320664385518164,3800,Train error
0.006817205057991859,3800,Test error
0.006022097506512821,3820,Train error
0.005683773891854515,3820,Test error
0.008090527855107438,3840,Train error
0.0075947096135465745,3840,Test error
0.006685908793052918,3860,Train error
0.006232210846265984,3860,Test error
0.0069662719264956844,3880,Train error
0.006773494607376619,3880,Test error
0.006746070687875729,3900,Train error
0.006350961119043161,3900,Test error
0.00621448284872684,3920,Train error
0.005946016294576656,3920,Test error
0.006570791519028689,3940,Train error
0.00634233984980096,3940,Test error
0.006376276195886289,3960,Train error
0.005920047318223667,3960,Test error
0.006083565458335549,3980,Train error
0.005735329896392394,3980,Test error
0.006236213859440538,4000,Train error
0.005831860643737269,4000,Test error
0.006053326987315737,4020,Train error
0.005631553809366428,4020,Test error
0.006012979634391805,4040,Train error
0.005613178737066802,4040,Test error
0.00600829856660154,4060,Train error
0.0055966770422571374,4060,Test error
0.006022465732908932,4080,Train error
0.005561150096596585,4080,Test error
0.006035712455304426,4100,Train error
0.005582562208435728,4100,Test error
0.00629541305947066,4120,Train error
0.005932046846435172,4120,Test error
0.00617685623186074,4140,Train error
0.005949647312236593,4140,Test error
0.0063031361333541445,4160,Train error
0.005944472759365758,4160,Test error
0.010653473783122275,4180,Train error
0.010056148927018612,4180,Test error
0.006496940501613757,4200,Train error
0.006219328670276754,4200,Test error
0.006099066827885848,4220,Train error
0.0057835926469663995,4220,Test error
0.007152789337237938,4240,Train error
0.00681865854423255,4240,Test error
0.008907852532089342,4260,Train error
0.008268457677821837,4260,Test error
0.006722265792013468,4280,Train error
0.006404156154472595,4280,Test error
0.0063653962722576875,4300,Train error
0.005997734941567491,4300,Test error
0.008172216698606911,4320,Train error
